,id,lastName,age,worth_2019_in_BUSD,position,worth 2010 in BUSD
0,2813,bezos,54.0,112.0,1.0,45.2
1,8910,gates,62.0,90.0,2.0,75.0
2,3919,buffett,87.0,84.0,3.0,60.8
3,5032,zuckerberg,1985.0,71.0,5.0,44.6
4,2009,ortega,82.0,70.0,6.0,67.0
5,5544,koch,82.0,60.0,8.0,39.6
11,6377,ellison,73.0,58.5,10.0,43.6
12,5851,bloomberg,76.0,50.0,11.0,40.0
